Year,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,England,England and Wales,UK
2004,8,5,16,21,10,20,19,14,15,16,12,6,16,9,16,8,34,20,7,15,19,12,8,15,2,9,24,7,25,5,12,18,11,12,14,15,19,16,23,13,23,21,#N/A,18,#N/A,#N/A
2005,14,14,20,30,14,23,25,13,15,24,19,12,20,14,19,16,27,17,11,18,18,16,10,20,6,16,24,11,28,7,18,17,15,15,19,19,26,20,30,18,26,27,#N/A,23,#N/A,#N/A
2006,18,17,27,38,20,27,27,16,19,27,22,16,21,19,27,18,28,19,18,20,24,22,12,23,10,17,29,15,29,9,22,21,18,21,24,22,32,25,34,21,29,31,#N/A,27,#N/A,#N/A
2007,28,21,29,40,22,32,28,20,25,30,24,20,24,25,28,20,31,20,24,24,24,23,16,25,14,19,32,18,30,12,28,23,20,26,29,27,36,29,38,23,33,37,#N/A,31,#N/A,#N/A
2008,33,20,31,42,21,34,27,23,29,28,31,22,27,26,40,24,34,22,26,28,26,25,22,27,14,22,36,20,32,13,30,25,23,28,33,31,42,33,41,25,36,40,#N/A,35,#N/A,#N/A
2009,34,25,31,51,28,36,28,28,35,27,42,23,28,22,43,27,35,24,28,30,35,26,21,30,15,26,42,21,32,19,28,27,23,31,37,34,44,37,44,29,38,42,#N/A,38,#N/A,#N/A
2010,35,33,33,51,29,40,30,32,38,31,35,24,27,25,46,34,41,33,29,31,46,27,17,34,19,32,43,22,38,26,28,25,24,35,38,37,46,40,46,32,40,43,#N/A,40,#N/A,#N/A
2011,39,28,33,51,33,44,32,33,40,32,37,25,28,28,50,31,43,35,30,32,47,28,18,36,15,28,43,25,38,25,27,27,25,36,40,39,46,42,49,32,41,47,#N/A,41,#N/A,#N/A
2012,37,30,34,53,37,50,33,38,41,35,39,24,30,26,48,35,43,35,32,34,47,28,17,37,23,33,45,27,37,27,27,28,25,38,43,42,47,43,50,34,43,47,#N/A,43,#N/A,#N/A
2013,36,27,33,54,43,49,31,44,41,39,40,24,23,32,45,35,43,35,31,26,46,23,20,39,21,29,46,30,37,28,31,23,22,37,44,43,47,44,49,34,43,47,#N/A,43,#N/A,#N/A
2014,39,25,36,55,41,50,29,42,40,39,39,25,21,36,49,32,43,35,33,25,46,21,18,39,18,29,43,34,37,28,33,20,21,38,46,44,46,42,49,34,44,47,#N/A,43,#N/A,#N/A
2015,34,23,38,54,35,48,26,40,40,39,34,25,21,37,45,32,44,35,33,25,46,28,17,38,17,29,41,35,38,28,36,21,19,38,46,44,45,42,49,33,45,48,#N/A,44,#N/A,#N/A
2016,31,19,37,52,36,46,25,38,43,36,35,25,22,36,41,32,44,34,29,26,46,29,18,35,15,28,41,35,35,27,35,21,17,36,46,42,45,41,49,32,45,48,#N/A,43,#N/A,#N/A